,Duration,Distance,PLong,PLatd,DLong,DLatd,Haversine,Pmonth,Pday,Phour,Pmin,PDweek,Dmonth,Dday,Dhour,Dmin,DDweek,Temp,Precip,Wind,Humid,Solar,Snow,GroundTemp,Dust
0,3,50,37.544666,126.888359,37.544666,126.888359,0,1,1,0,0,0,1,1,0,4,0,-3.2,0,0.5,40,0,0,-2.2,25
1,24,7670,37.506199,127.003944,37.55125,127.035103,5.713529,1,1,0,0,0,1,1,0,25,0,-3.2,0,0.5,40,0,0,-2.2,25
2,8,1390,37.54459,127.057083,37.537014,127.061096,0.913701644,1,1,0,0,0,1,1,0,9,0,-3.2,0,0.5,40,0,0,-2.2,25
3,8,1820,37.571102,127.02356,37.561447,127.03492,1.468027082,1,1,0,1,0,1,1,0,10,0,-3.2,0,0.5,40,0,0,-2.2,25
4,4,850,37.573242,127.015907,37.565849,127.016403,0.823226716,1,1,0,1,0,1,1,0,6,0,-3.2,0,0.5,40,0,0,-2.2,25
5,8,1800,37.571102,127.02356,37.561447,127.03492,1.468027082,1,1,0,1,0,1,1,0,10,0,-3.2,0,0.5,40,0,0,-2.2,25
6,25,4770,37.593288,127.036667,37.5825,126.998535,3.567643561,1,1,0,1,0,1,1,0,27,0,-3.2,0,0.5,40,0,0,-2.2,25
7,4,630,37.552914,126.836571,37.557968,126.838287,0.58198232,1,1,0,2,0,1,1,0,6,0,-3.2,0,0.5,40,0,0,-2.2,25
8,3,950,37.459953,127.024742,37.455799,127.016289,0.877524201,1,1,0,2,0,1,1,0,5,0,-3.2,0,0.5,40,0,0,-2.2,25
9,25,3900,37.527122,127.028717,37.539654,127.052589,2.52443031,1,1,0,2,0,1,1,0,28,0,-3.2,0,0.5,40,0,0,-2.2,25
10,27,4750,37.570721,126.898979,37.578072,126.930817,2.922488391,1,1,0,2,0,1,1,0,30,0,-3.2,0,0.5,40,0,0,-2.2,25
11,23,4820,37.570721,126.898979,37.578072,126.930817,2.922488391,1,1,0,3,0,1,1,0,30,0,-3.2,0,0.5,40,0,0,-2.2,25
12,16,2930,37.599491,126.916862,37.620949,126.925636,2.508075282,1,1,0,3,0,1,1,0,20,0,-3.2,0,0.5,40,0,0,-2.2,25
13,30,5140,37.512169,127.078934,37.483311,127.084938,3.252288826,1,1,0,5,0,1,1,0,36,0,-3.2,0,0.5,40,0,0,-2.2,25
14,11,1800,37.52565,126.887817,37.535961,126.8983,1.472768336,1,1,0,5,0,1,1,0,17,0,-3.2,0,0.5,40,0,0,-2.2,25
15,22,3140,37.479465,127.125328,37.499985,127.135391,2.448374383,1,1,0,5,0,1,1,0,29,0,-3.2,0,0.5,40,0,0,-2.2,25
16,65,10700,37.585735,127.00161,37.610722,127.077477,7.238424174,1,1,0,6,0,1,1,1,17,0,-3.2,0,0.5,40,0,0,-2.2,25
17,6,1610,37.513359,126.948059,37.505852,126.939362,1.133698912,1,1,0,7,0,1,1,0,14,0,-3.2,0,0.5,40,0,0,-2.2,25
18,14,2390,37.565849,127.016403,37.561096,127.036797,1.873651399,1,1,0,7,0,1,1,0,22,0,-3.2,0,0.5,40,0,0,-2.2,25
19,12,1930,37.479465,127.125328,37.493729,127.120621,1.639559313,1,1,0,7,0,1,1,0,19,0,-3.2,0,0.5,40,0,0,-2.2,25
20,69,15730,37.471165,126.937019,37.472294,126.933411,0.342262107,1,1,0,7,0,1,1,1,17,0,-3.2,0,0.5,40,0,0,-2.2,25
21,11,2880,37.585197,127.060951,37.568192,127.057175,1.919929865,1,1,0,7,0,1,1,0,20,0,-3.2,0,0.5,40,0,0,-2.2,25
22,14,1960,37.48423,126.926392,37.471165,126.937019,1.729138444,1,1,0,7,0,1,1,0,22,0,-3.2,0,0.5,40,0,0,-2.2,25
23,14,2520,37.48423,126.926392,37.471165,126.937019,1.729138444,1,1,0,7,0,1,1,0,22,0,-3.2,0,0.5,40,0,0,-2.2,25
24,14,1970,37.48423,126.926392,37.471165,126.937019,1.729138444,1,1,0,7,0,1,1,0,23,0,-3.2,0,0.5,40,0,0,-2.2,25
25,11,1900,37.557499,126.923805,37.573112,126.922447,1.740210013,1,1,0,8,0,1,1,0,20,0,-3.2,0,0.5,40,0,0,-2.2,25
26,18,1600,37.55661,126.898018,37.55661,126.898018,0,1,1,0,8,0,1,1,0,27,0,-3.2,0,0.5,40,0,0,-2.2,25
27,16,3630,37.564674,126.976738,37.54425,126.951637,3.170770196,1,1,0,8,0,1,1,0,26,0,-3.2,0,0.5,40,0,0,-2.2,25
28,9,1910,37.48494,126.901321,37.469139,126.897202,1.794196729,1,1,0,10,0,1,1,0,21,0,-3.2,0,0.5,40,0,0,-2.2,25
29,23,2530,37.568577,126.824776,37.577221,126.812195,1.467387792,1,1,0,11,0,1,1,0,35,0,-3.2,0,0.5,40,0,0,-2.2,25
30,8,1680,37.539936,126.945824,37.550411,126.943848,1.17772456,1,1,0,12,0,1,1,0,21,0,-3.2,0,0.5,40,0,0,-2.2,25
31,4,680,37.568562,127.177002,37.564301,127.17395,0.544838297,1,1,0,12,0,1,1,0,17,0,-3.2,0,0.5,40,0,0,-2.2,25
32,11,2030,37.569805,127.016953,37.554295,127.0112,1.797639797,1,1,0,12,0,1,1,0,25,0,-3.2,0,0.5,40,0,0,-2.2,25
33,6,970,37.55751,126.918503,37.565166,126.919395,0.854932625,1,1,0,12,0,1,1,0,19,0,-3.2,0,0.5,40,0,0,-2.2,25
34,6,770,37.552746,126.918617,37.556,126.910454,0.805438185,1,1,0,13,0,1,1,0,20,0,-3.2,0,0.5,40,0,0,-2.2,25
35,85,16400,37.511982,127.085052,37.513359,126.948059,12.08402791,1,1,0,13,0,1,1,1,39,0,-3.2,0,0.5,40,0,0,-2.2,25
36,17,2880,37.477509,127.126328,37.49567,127.130592,2.054160995,1,1,0,14,0,1,1,0,32,0,-3.2,0,0.5,40,0,0,-2.2,25
37,2,660,37.559177,126.934525,37.555496,126.93634,0.43946671,1,1,0,14,0,1,1,0,17,0,-3.2,0,0.5,40,0,0,-2.2,25
38,18,2070,37.518738,126.895576,37.526386,126.902756,1.060266312,1,1,0,14,0,1,1,0,33,0,-3.2,0,0.5,40,0,0,-2.2,25
39,10,1960,37.619171,127.074928,37.635109,127.068329,1.86508069,1,1,0,14,0,1,1,0,25,0,-3.2,0,0.5,40,0,0,-2.2,25
40,72,25430,37.511944,127.091217,37.54258,127.063309,4.202565252,1,1,0,15,0,1,1,1,35,0,-3.2,0,0.5,40,0,0,-2.2,25
41,14,2720,37.563858,127.030319,37.56765,127.051155,1.884253111,1,1,0,16,0,1,1,0,31,0,-3.2,0,0.5,40,0,0,-2.2,25
42,15,3280,37.520451,127.104202,37.516571,127.131538,2.449200785,1,1,0,16,0,1,1,0,32,0,-3.2,0,0.5,40,0,0,-2.2,25
43,14,2280,37.554859,126.936157,37.549904,126.955147,1.762402437,1,1,0,17,0,1,1,0,31,0,-3.2,0,0.5,40,0,0,-2.2,25
44,58,12360,37.53186,127.067192,37.581646,127.088432,5.844001599,1,1,0,17,0,1,1,1,19,0,-3.2,0,0.5,40,0,0,-2.2,25
45,15,3480,37.573093,126.822899,37.565189,126.853996,2.878212011,1,1,0,17,0,1,1,0,33,0,-3.2,0,0.5,40,0,0,-2.2,25
46,17,2040,37.514088,127.09903,37.512169,127.078934,1.785294804,1,1,0,17,0,1,1,0,35,0,-3.2,0,0.5,40,0,0,-2.2,25
47,32,5040,37.467506,127.034477,37.494236,127.047462,3.185447261,1,1,0,17,0,1,1,0,51,0,-3.2,0,0.5,40,0,0,-2.2,25
48,14,2100,37.53186,127.067192,37.539654,127.052589,1.552109433,1,1,0,17,0,1,1,0,32,0,-3.2,0,0.5,40,0,0,-2.2,25
49,13,2160,37.53186,127.067192,37.539654,127.052589,1.552109433,1,1,0,17,0,1,1,0,32,0,-3.2,0,0.5,40,0,0,-2.2,25
50,60,13060,37.53186,127.067192,37.581646,127.088432,5.844001599,1,1,0,17,0,1,1,1,19,0,-3.2,0,0.5,40,0,0,-2.2,25
51,6,1170,37.537308,127.070351,37.54258,127.063309,0.853909105,1,1,0,18,0,1,1,0,25,0,-3.2,0,0.5,40,0,0,-2.2,25
52,8,1830,37.554859,126.936157,37.544579,126.950218,1.686189269,1,1,0,19,0,1,1,0,28,0,-3.2,0,0.5,40,0,0,-2.2,25
53,77,8540,37.569889,126.976456,37.617802,126.921967,7.171612768,1,1,0,20,0,1,1,1,38,0,-3.2,0,0.5,40,0,0,-2.2,25
54,23,3950,37.579449,127.024193,37.598068,127.039276,2.460190362,1,1,0,20,0,1,1,0,45,0,-3.2,0,0.5,40,0,0,-2.2,25
55,22,2750,37.51424,127.12307,37.513126,127.10096,1.954050314,1,1,0,21,0,1,1,0,43,0,-3.2,0,0.5,40,0,0,-2.2,25
56,17,2840,37.530235,127.08683,37.536667,127.073593,1.36890032,1,1,0,21,0,1,1,0,39,0,-3.2,0,0.5,40,0,0,-2.2,25
57,18,2800,37.530235,127.08683,37.536667,127.073593,1.36890032,1,1,0,21,0,1,1,0,39,0,-3.2,0,0.5,40,0,0,-2.2,25
58,5,960,37.607849,126.921326,37.6007,126.920128,0.801908574,1,1,0,21,0,1,1,0,27,0,-3.2,0,0.5,40,0,0,-2.2,25
59,10,1770,37.514248,127.061119,37.525116,127.052467,1.429210904,1,1,0,21,0,1,1,0,32,0,-3.2,0,0.5,40,0,0,-2.2,25
60,26,3850,37.571732,126.974922,37.569183,127.00988,3.093987162,1,1,0,21,0,1,1,0,49,0,-3.2,0,0.5,40,0,0,-2.2,25
61,20,5250,37.484661,126.9039,37.507332,126.87973,3.30177817,1,1,0,21,0,1,1,0,42,0,-3.2,0,0.5,40,0,0,-2.2,25
62,30,4780,37.619171,127.074928,37.654701,127.0634,4.079085309,1,1,0,21,0,1,1,0,52,0,-3.2,0,0.5,40,0,0,-2.2,25
63,30,4340,37.566223,126.983589,37.590233,126.99852,2.976422998,1,1,0,22,0,1,1,0,53,0,-3.2,0,0.5,40,0,0,-2.2,25
64,29,4270,37.566223,126.983589,37.590233,126.99852,2.976422998,1,1,0,22,0,1,1,0,53,0,-3.2,0,0.5,40,0,0,-2.2,25
65,3,630,37.479916,126.90284,37.483192,126.902031,0.371203689,1,1,0,22,0,1,1,0,26,0,-3.2,0,0.5,40,0,0,-2.2,25
66,10,1270,37.484558,127.01487,37.494217,127.013786,1.078283196,1,1,0,22,0,1,1,0,33,0,-3.2,0,0.5,40,0,0,-2.2,25
67,7,1110,37.48447,126.971428,37.485508,126.981621,0.906752434,1,1,0,22,0,1,1,0,30,0,-3.2,0,0.5,40,0,0,-2.2,25
68,34,4060,37.509121,127.062309,37.489342,127.041298,2.876225807,1,1,0,23,0,1,1,0,59,0,-3.2,0,0.5,40,0,0,-2.2,25
69,25,4190,37.520451,127.104202,37.539501,127.083,2.82534092,1,1,0,23,0,1,1,0,49,0,-3.2,0,0.5,40,0,0,-2.2,25
70,11,1540,37.511944,127.091217,37.505463,127.077347,1.41990059,1,1,0,23,0,1,1,0,36,0,-3.2,0,0.5,40,0,0,-2.2,25
71,9,2340,37.496914,127.024963,37.502636,127.012314,1.28451088,1,1,0,24,0,1,1,0,34,0,-3.2,0,0.5,40,0,0,-2.2,25
